track_id,track_name,artist,genre,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,loudness,popularity
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,0.589,0.472,0.898,0.614,0.0502,0.0,0.505,67.196,-8.749,85
2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,0.451,0.24,0.701,0.912,0.0351,2.45e-06,0.175,134.009,-14.014,81
3mRM4NM8iO7UBqrSigCQFH,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,adult standards,0.703,0.826,0.945,0.0322,0.0341,0.00629,0.179,103.564,-7.178999999999999,79
2JoZzpdeP2G6Csfdq5aLXP,How Deep Is Your Love,Bee Gees,adult standards,0.633,0.357,0.674,0.105,0.0264,0.0,0.133,104.938,-9.366,79
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond,adult standards,0.529,0.127,0.578,0.611,0.0274,0.000109,0.237,63.05,-16.066,78
3SdTKo2uVsxFblQjpScoHy,Stand by Me,Ben E. King,adult standards,0.65,0.306,0.605,0.57,0.0393,7.07e-06,0.0707,118.068,-9.443,78
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,0.319,0.21,0.209,0.92,0.0341,8.06e-05,0.138,78.696,-15.231,77
4so0Wek9Ig1p6CRCHuINwW,White Christmas,Bing Crosby,adult standards,0.317,0.158,0.247,0.6729999999999999,0.0381,0.353,0.338,130.503,-16.485,76
4Hhv2vrOTy89HFRcjU3QOx,At Last,Etta James,adult standards,0.274,0.348,0.328,0.547,0.0293,0.0133,0.334,87.43,-8.631,76
1JQ6Xm1JrvHfvAqhl5pwaA,Easy,Commodores,adult standards,0.589,0.384,0.354,0.112,0.0332,2.8000000000000013e-05,0.0596,132.909,-15.075,76
